Time (s),Load (N),Extension (mm)
0,0,0
1.539861506,7.751604402,0.006609221
3.079723011,25.8937167,0.019798782
4.619584517,46.97836702,0.033714808
6.159446023,64.84432854,0.044743311
7.699307528,87.83004681,0.059239799
9.239169034,104.2811906,0.071794925
10.77903054,122.7321618,0.084266148
12.31889205,140.575929,0.096955339
13.85875355,160.5903016,0.109556714
15.39861506,177.6608571,0.122490733
16.93847656,195.0435153,0.134432295
18.47833807,215.4099034,0.14854701
20.01819957,231.5547882,0.159659091
21.55806108,253.5436006,0.173522018
23.09792259,272.8998752,0.185656176
24.63778409,293.7449546,0.199207541
26.1776456,312.1280792,0.211023334
27.7175071,332.2362922,0.223804288
29.25736861,353.8592746,0.237357937
30.79723011,371.0536486,0.249270655
32.33709162,393.714799,0.263505062
33.87695313,413.5645148,0.274956377
35.41681463,434.0324071,0.2891934
36.95667614,453.7758829,0.300612759
38.49653764,475.0523709,0.313886852
40.03639915,494.9484805,0.326417549
41.57626065,513.8913465,0.337962667
43.11612216,536.8125595,0.352296741
44.65598366,554.9796194,0.364408777
46.19584517,576.0779038,0.377849345
47.73570668,596.1471363,0.389682724
49.27556818,619.0983336,0.403736137
50.81542969,636.6489283,0.414880509
52.35529119,658.5064899,0.427772887
53.8951527,680.2587584,0.44200608
55.4350142,700.3054069,0.453260409
56.97487571,723.2407549,0.467148149
58.51473722,742.9649693,0.478964447
60.05459872,764.1935316,0.492444057
61.59446023,783.2329377,0.504380041
63.13432173,805.7156913,0.517642518
64.67418324,827.1711972,0.530632433
66.21404474,845.9559658,0.542637536
67.75390625,869.8594681,0.556905852
69.29376776,889.4620694,0.567614338
70.83362926,909.9537066,0.581695203
72.37349077,931.1019165,0.593352866
73.91335227,952.0941458,0.60676391
75.45321378,972.6915581,0.619313273
76.99307528,994.7073254,0.632465186
78.53293679,1015.626506,0.645878392
80.0727983,1035.921609,0.658258666
81.6126598,1057.716386,0.671645061
83.15252131,1079.151602,0.683779701
84.69238281,1097.907899,0.69634498
86.23224432,1118.34612,0.708661363
87.77210582,1139.344591,0.722245079
89.31196733,1161.150539,0.734694893
90.85182884,1180.178916,0.747448459
92.39169034,1204.871535,0.760260145
93.93155185,1222.739891,0.77244027
95.47141335,1245.462538,0.78668824
97.01127486,1263.300827,0.798442232
98.55113636,1285.522102,0.812419337
100.0909979,1303.34824,0.823184865
101.6308594,1328.12701,0.83742134
103.1707209,1347.182508,0.850131319
104.7105824,1367.412173,0.861914507
106.2504439,1390.413238,0.877111101
107.7903054,1408.963264,0.887547902
109.3301669,1429.529163,0.900570189
110.8700284,1447.60402,0.912371797
112.4098899,1471.006305,0.925542656
113.9497514,1489.654883,0.937966275
115.4896129,1508.101134,0.950097601
117.0294744,1533.18257,0.964918675
118.5693359,1552.889577,0.977163582
120.1091974,1573.260042,0.990670673
121.6490589,1590.679062,1.001918205
123.1889205,1612.266413,1.015125143
124.728782,1632.024832,1.027859049
126.2686435,1653.318825,1.040292701
127.808505,1675.166706,1.054179748
129.3483665,1692.493118,1.065627291
130.888228,1715.942631,1.079845978
132.4280895,1734.510832,1.091966858
133.967951,1754.575663,1.104694022
135.5078125,1774.158663,1.11642172
137.047674,1795.037295,1.129339413
138.5875355,1816.252927,1.142144564
140.127397,1835.537372,1.154685131
141.6672585,1859.555955,1.169462729
143.20712,1877.636813,1.181006199
144.7469815,1898.079812,1.193162333
146.286843,1918.623955,1.206501013
147.8267045,1939.526579,1.218738106
149.3665661,1958.339872,1.231757654
150.9064276,1979.428503,1.244786913
152.4462891,2000.236896,
