Load (N),Voltage (V),Error Voltage (V),Strain,Error Strain Rel Squared,Error Strain,Stress (MPa),Error Stress (MPa)
0,0.0,0.0005,0.0,inf,,0.0,0.0
100,0.004,0.0005,3.791469194312796e-05,0.015725,4.75447818160548e-06,2.2922694486327884,0.012905346129743648
200,0.006,0.0005,5.687203791469194e-05,0.007044444444444444,4.773337748630966e-06,4.584538897265577,0.025810692259487296
300,0.009000000000000001,0.0005,8.530805687203793e-05,0.0031864197530864194,4.815501723556603e-06,6.8768083458983655,0.03871603838923095
400,0.011,0.0005,0.00010426540284360189,0.0021661157024793387,4.852673264898655e-06,9.169077794531153,0.05162138451897459
500,0.013999999999999999,0.0005,0.00013270142180094786,0.001375510204081633,4.921613264738264e-06,11.461347243163942,0.06452673064871825
600,0.017,0.0005,0.00016113744075829385,0.0009650519031141869,5.005780446070482e-06,13.753616691796731,0.0774320767784619
700,0.02,0.0005,0.0001895734597156398,0.0007250000000000002,5.104421618136971e-06,16.04588614042952,0.09033742290820555
800,0.022000000000000002,0.0005,0.0002085308056872038,0.0006165289256198347,5.177820012795323e-06,18.338155589062307,0.10324276903794918
900,0.025,0.0005,0.00023696682464454977,0.0005,5.298739283174857e-06,20.630425037695098,0.11614811516769286
1000,0.028,0.0005,0.00026540284360189573,0.00041887755102040813,5.4318668367372134e-06,22.922694486327885,0.1290534612974365
1100,0.031,0.0005,0.0002938388625592417,0.0003601456815816857,5.5763283715953456e-06,25.214963934960675,0.14195880742718014
1200,0.034,0.0005,0.0003222748815165877,0.0003162629757785467,5.731266903443024e-06,27.507233383593462,0.1548641535569238
1300,0.037,0.0005,0.00035071090047393365,0.00028261504747991237,5.895856508088716e-06,29.799502832226253,0.16776949968666746
1400,0.041,0.0005,0.0003886255924170616,0.00024872099940511603,6.128971814342071e-06,32.09177228085904,0.1806748458164111
1500,0.044,0.0005,0.00041706161137440757,0.00022913223140495867,6.313109310084061e-06,34.38404172949183,0.19358019194615475
1600,0.047,0.0005,0.00044549763033175353,0.00021317338162064284,6.504469559923322e-06,36.676311178124614,0.20648553807589837
1700,0.05,0.0005,0.00047393364928909954,0.0002,6.702433944896185e-06,38.96858062675741,0.21939088420564207
1800,0.053,0.0005,0.0005023696682464455,0.000188999644001424,6.906434590311609e-06,41.260850075390195,0.2322962303353857
1900,0.056,0.0005,0.0005308056872037915,0.00017971938775510204,7.1159523712316434e-06,43.55311952402298,0.24520157646512936
2000,0.059000000000000004,0.0005,0.0005592417061611375,0.00017181844297615629,7.330514237340402e-06,45.84538897265577,0.258106922594873
