rle,xup,yup,yxxup,xlo,ylo,yxxlo,alpha_te,beta_te,CL,CD,CM
0.00784,0.4332,0.0629,-0.4245,0.3618,-0.0589,0.7069,-0.1126,0.1646,0.80824572,0.00726186,0.121544033
0.00852,0.38988,0.06919,-0.46695,0.39798,-0.06479,0.77759,-0.12386,0.14814,0.800081492,0.018034839,0.126752683
0.00716,0.47652,0.05661,-0.38205,0.32562,-0.05301,0.63621,-0.10134,0.18106,0.779724767,0.003611695,0.110894539
0.0075,0.41154,0.066045,-0.488175,0.41607,-0.050065,0.600865,-0.10697,0.13991,0.796090391,0.012808802,0.118196068
0.00886,0.49818,0.053465,-0.403275,0.34371,-0.061845,0.742245,-0.12949,0.17283,0.764919645,0.007442781,0.10771387
0.00818,0.36822,0.059755,-0.445725,0.30753,-0.055955,0.812935,-0.09571,0.15637,0.773813181,0.011401021,0.111217557
0.00682,0.45486,0.072335,-0.360825,0.37989,-0.067735,0.671555,-0.11823,0.18929,0.826961254,0.014438798,0.14671744
0.00699,0.40071,0.0581825,-0.3926625,0.370845,-0.0662625,0.5831925,-0.092895,0.144025,0.596577803,0.003247774,0.064814096
0.00835,0.48735,0.0707625,-0.4775625,0.298485,-0.0544825,0.7245725,-0.115415,0.176945,0.957605503,0.015253143,0.18388292
0.00903,0.35739,0.0644725,-0.3502125,0.334665,-0.0603725,0.7952625,-0.104155,0.160485,0.832697419,0.017656837,0.130048919
0.00767,0.44403,0.0518925,-0.4351125,0.407025,-0.0485925,0.6538825,-0.126675,0.193405,0.770036439,0.004472907,0.095909346
0.00733,0.37905,0.0739075,-0.4138875,0.352755,-0.0515375,0.6185375,-0.121045,0.135795,0.962166806,0.031779808,0.184702733
0.00869,0.46569,0.0613275,-0.4987875,0.425115,-0.0633175,0.7599175,-0.098525,0.168715,0.669069654,0.004852276,0.085189571
0.00801,0.42237,0.0550375,-0.3714375,0.388935,-0.0574275,0.8306075,-0.132305,0.152255,0.79937838,0.004807335,0.105589454
0.00665,0.50901,0.0676175,-0.4563375,0.316575,-0.0692075,0.6892275,-0.109785,0.185175,0.766613022,0.005940684,0.131585474
0.006735,0.427785,0.07154875,-0.44041875,0.3301425,-0.06258125,0.71573625,-0.0971175,0.1831175,0.80397244,0.016478167,0.141594645
0.008095,0.514425,0.05896875,-0.35551875,0.4025025,-0.05080125,0.57435625,-0.1196375,0.1501975,0.863857798,0.005278996,0.123722807
0.008775,0.384465,0.05267875,-0.48286875,0.3663225,-0.06847125,0.64504625,-0.1083775,0.1666575,0.55035588,0.00202302,0.047536494
0.007415,0.471105,0.06525875,-0.39796875,0.2939625,-0.05669125,0.78642625,-0.1308975,0.1337375,0.949631467,0.010921562,0.171378566
0.007755,0.362805,0.06211375,-0.46164375,0.3844125,-0.05374625,0.75108125,-0.1140075,0.1913475,0.793652598,0.014732258,0.113984837
0.009115,0.449445,0.07469375,-0.37674375,0.3120525,-0.06552625,0.60970125,-0.0914875,0.1584275,0.799264397,0.014668746,0.136649961
0.008435,0.406125,0.06840375,-0.50409375,0.3482325,-0.04785625,0.68039125,-0.1252675,0.1748875,0.935243087,0.021834097,0.167812632
0.007075,0.492765,0.05582375,-0.41919375,0.4205925,-0.05963625,0.82177125,-0.1027475,0.1419675,0.700988575,0.004052458,0.091607935
0.006905,0.373635,0.06368625,-0.36613125,0.4115475,-0.06110875,0.73340875,-0.1280825,0.1954625,0.807948305,0.014858603,0.121034924
0.008265,0.460275,0.05110625,-0.45103125,0.3391875,-0.04932875,0.59202875,-0.1055625,0.1625425,0.728025045,0.006221912,0.092699816
0.008945,0.416955,0.05739625,-0.40858125,0.3030075,-0.06699875,0.66271875,-0.1168225,0.1790025,0.659351678,0.002732641,0.078782477
0.007585,0.503595,0.06997625,-0.49348125,0.3753675,-0.05521875,0.80409875,-0.0943025,0.1460825,0.898034859,0.01123273,0.160331667
0.007245,0.395295,0.05425125,-0.34490625,0.3210975,-0.05816375,0.76875375,-0.1111925,0.1872325,0.755458549,0.005529525,0.102805884
0.008605,0.481935,0.06683125,-0.42980625,0.3934575,-0.06994375,0.62737375,-0.1337125,0.1543125,0.791628297,0.004755517,0.1203892
0.007925,0.351975,0.07312125,-0.38735625,0.4296375,-0.05227375,0.69806375,-0.0999325,0.1707725,0.89980733,0.027039744,0.150005309
0.006565,0.438615,0.06054125,-0.47225625,0.3572775,-0.06405375,0.83944375,-0.1224525,0.1378525,0.762358001,0.006460333,0.117998238
0.0066075,0.3925875,0.065651875,-0.411234375,0.39119625,-0.055586875,0.640628125,-0.10485875,0.16974375,0.790713773,0.013936856,0.119110928
0.0079675,0.4792275,0.053071875,-0.496134375,0.31883625,-0.067366875,0.782008125,-0.12737875,0.13682375,0.666402689,0.007160912,0.093477463
0.0086475,0.3492675,0.059361875,-0.368784375,0.35501625,-0.049696875,0.711318125,-0.09359875,0.18620375,0.804201704,0.013786366,0.11109397
0.0072875,0.4359075,0.071941875,-0.453684375,0.42737625,-0.061476875,0.569938125,-0.11611875,0.15328375,0.792460939,0.01521123,0.129500147
0.0076275,0.3709275,0.056216875,-0.390009375,0.33692625,-0.064421875,0.675973125,-0.13300875,0.17797375,0.716295444,0.007529364,0.095083455
0.0089875,0.4575675,0.068796875,-0.474909375,0.40928625,-0.052641875,0.817353125,-0.11048875,0.14505375,0.896161935,0.012596917,0.148323213
0.0083075,0.4142475,0.075086875,-0.347559375,0.37310625,-0.070311875,0.746663125,-0.12174875,0.19443375,0.851056853,0.021909019,0.155943767
0.0069475,0.5008875,0.062506875,-0.432459375,0.30074625,-0.058531875,0.605283125,-0.09922875,0.16151375,0.755025073,0.004685399,0.117863931
0.0071175,0.3600975,0.070369375,-0.485521875,0.30979125,-0.057059375,0.658300625,-0.11893375,0.17385875,0.86203707,0.025856153,0.151436674
0.0084775,0.4467375,0.057789375,-0.400621875,0.38215125,-0.068839375,0.799680625,-0.09641375,0.14093875,0.643540014,0.002545433,0.07562932
0.0091575,0.4034175,0.051499375,-0.443071875,0.41833125,-0.051169375,0.728990625,-0.13019375,0.19031875,0.746690754,0.004500739,0.082326562
0.0077975,0.4900575,0.064079375,-0.358171875,0.34597125,-0.062949375,0.587610625,-0.10767375,0.15739875,0.811348516,0.004041991,0.122064351
0.0074575,0.4250775,0.060934375,-0.506746875,0.40024125,-0.060004375,0.693645625,-0.09078375,0.16562875,0.659464747,0.005542794,0.083405996
0.0088175,0.5117175,0.073514375,-0.421846875,0.32788125,-0.048224375,0.835025625,-0.11330375,0.13270875,1.097826815,0.02537225,0.229383784
0.0081375,0.3817575,0.067224375,-0.464296875,0.29170125,-0.065894375,0.764335625,-0.10204375,0.18208875,0.72022992,0.01403926,0.108450986
0.0067775,0.4683975,0.054644375,-0.379396875,0.36406125,-0.054114375,0.622955625,-0.12456375,0.14916875,0.780277069,0.003698566,0.108295559
0.0066925,0.3871725,0.057003125,-0.342253125,0.43189875,-0.047488125,0.790844375,-0.11471125,0.15534125,0.811290132,0.008803346,0.108301837
0.0080525,0.4738125,0.069583125,-0.427153125,0.35953875,-0.059268125,0.649464375,-0.09219125,0.18826125,0.83845385,0.009548511,0.139932822
0.0087325,0.4304925,0.063293125,-0.384703125,0.32335875,-0.053378125,0.578774375,-0.12597125,0.13888125,0.892360404,0.010444995,0.141808713
0.0073725,0.5171325,0.050713125,-0.469603125,0.39571875,-0.065158125,0.720154375,-0.10345125,0.17180125,0.581639076,0.007326634,0.072745242
0.0077125,0.4088325,0.072728125,-0.363478125,0.30526875,-0.068103125,0.826189375,-0.09782125,0.16357125,0.809762175,0.018738731,0.143791897
0.0090725,0.4954725,0.060148125,-0.448378125,0.37762875,-0.056323125,0.684809375,-0.12034125,0.19649125,0.845155679,0.005110653,0.122518465
0.0083925,0.3655125,0.053858125,-0.405928125,0.41380875,-0.062213125,0.614119375,-0.10908125,0.14711125,0.594710532,0.003532072,0.052488721
0.0070325,0.4521525,0.066438125,-0.490828125,0.34144875,-0.050433125,0.755499375,-0.13160125,0.18003125,0.955275773,0.016626949,0.180087911
0.0068625,0.4196625,0.052285625,-0.458990625,0.35049375,-0.051905625,0.808516875,-0.11189625,0.15945625,0.767875573,0.002976078,0.099670398
0.0082225,0.5063025,0.064865625,-0.374090625,0.42285375,-0.063685625,0.667136875,-0.13441625,0.19237625,0.862641993,0.004101998,0.130490335
0.0089025,0.3763425,0.071155625,-0.501440625,0.38667375,-0.057795625,0.596446875,-0.10063625,0.14299625,0.771804256,0.019949288,0.116516545
0.0075425,0.4629825,0.058575625,-0.416540625,0.31431375,-0.069575625,0.737826875,-0.12315625,0.17591625,0.690245703,0.003205653,0.097860996
0.0072025,0.3546825,0.068010625,-0.437765625,0.36858375,-0.066630625,0.843861875,-0.12878625,0.15122625,0.833232072,0.022515391,0.139875462
0.0085625,0.4413225,0.055430625,-0.352865625,0.29622375,-0.054850625,0.702481875,-0.10626625,0.18414625,0.786481103,0.004535241,0.107192446
