percentage_ac,flapfreq,Thrust_N
100,2.75,15.46180552
100,1.625,0.87833077
100,3.875,25.87684462
100,1.0625,0.257416635
100,3.3125,22.51806038
100,2.1875,6.808594573
100,4.4375,13.80227514
100,0.78125,-0.936168478
100,3.03125,19.15746714
100,1.90625,2.997806659
100,4.15625,20.6897649
100,1.34375,-0.1375453
100,3.59375,24.80208829
100,2.46875,10.80938325
100,4.71875,8.215142955
100,0.640625,-0.461642116
100,2.890625,17.54117864
100,1.765625,1.602856477
100,4.015625,23.84586761
100,1.203125,-0.017121431
0,2.75,3.037650451
0,1.625,2.622113641
0,3.875,2.429348876
0,1.0625,2.893054882
0,3.3125,2.625190269
0,2.1875,8.319433052
0,4.4375,2.104874598
0,0.78125,2.286950851
0,3.03125,2.309228147
0,1.90625,3.174025844
0,4.15625,1.905607968
0,1.34375,2.791659023
0,3.59375,2.825532525
0,2.46875,5.034341495
0,4.71875,2.163937178
0,0.640625,1.424234108
0,2.890625,2.470295044
0,1.765625,2.903792364
0,4.015625,2.411599678
0,1.203125,2.896265294
50,2.75,44.90049846
50,1.625,20.32706279
50,3.875,24.22963562
50,1.0625,4.452933864
50,3.3125,51.54756559
50,2.1875,34.28994013
50,4.4375,13.72289323
50,0.78125,3.080057446
50,3.03125,52.92835949
50,1.90625,27.20859994
50,4.15625,16.71977737
50,1.34375,13.11172521
50,3.59375,34.95498838
50,2.46875,40.32622264
50,4.71875,12.530804
50,0.640625,1.121053786
50,2.890625,48.93002831
50,1.765625,23.46885393
50,4.015625,20.07368789
50,1.203125,7.462328856
60,2.75,44.11312257
60,1.625,18.2288478
60,3.875,14.40679843
60,1.0625,5.803156956
60,3.3125,19.88852795
60,2.1875,26.71566272
60,4.4375,14.87811921
60,0.78125,2.256609166
60,3.03125,30.48272888
60,1.90625,22.67442497
60,4.15625,15.06862593
60,1.34375,13.71380471
60,3.59375,15.20890817
60,2.46875,32.51351816
60,4.71875,14.52399821
60,0.640625,1.667650622
60,2.890625,36.5794271
60,1.765625,20.92241616
60,4.015625,14.92196701
60,1.203125,10.74836327
40,2.75,40.68053908
40,1.625,11.47295302
40,3.875,29.8296155
40,1.0625,2.599458007
40,3.3125,45.01261051
40,2.1875,28.1154506
40,4.4375,11.08104416
40,0.78125,0.600032351
40,3.03125,42.1225539
40,1.90625,21.81174923
40,4.15625,17.6902414
40,1.34375,3.83919854
40,3.59375,47.10510011
40,2.46875,36.4452898
40,4.71875,7.663459544
40,0.640625,0.209495692
40,2.890625,41.62850911
40,1.765625,16.61778122
40,4.015625,23.88407065
40,1.203125,2.228942038
20,2.75,6.084420435
20,1.625,5.962941634
20,3.875,4.053099208
20,1.0625,5.633441417
20,3.3125,4.608678687
20,2.1875,9.255846659
20,4.4375,3.753931915
20,0.78125,1.870845497
20,3.03125,3.783771787
20,1.90625,6.548740932
20,4.15625,3.765141238
20,1.34375,6.716851674
20,3.59375,4.660239282
20,2.46875,10.96160357
20,4.71875,3.900323719
20,0.640625,0.496946026
20,2.890625,4.666164684
20,1.765625,6.211811482
20,4.015625,4.110629547
20,1.203125,6.762218747
80,2.75,13.22058378
80,1.625,1.073084775
80,3.875,17.36044574
80,1.0625,0.539437751
80,3.3125,19.97993276
80,2.1875,7.039146236
80,4.4375,5.86096779
80,0.78125,-0.557773507
80,3.03125,17.09932654
80,1.90625,3.959121755
80,4.15625,12.03886476
80,1.34375,0.541311578
80,3.59375,22.35844504
80,2.46875,9.208472457
80,4.71875,2.757010691
80,0.640625,-0.202555211
80,2.890625,15.36083598
80,1.765625,1.708283442
80,4.015625,15.45648904
80,1.203125,0.471339713
